Transaction_ID,Country,Product,Import_Export,Quantity,Value,Date,Category,Port,Customs_Code,Weight,Shipping_Method,Supplier,Customer,Invoice_Number,Payment_Terms
57d6ba6a-801c-481c-97a5-4ce125d4d82a,Qatar,religious,Export,9604,6235.97,17-12-2020,Machinery,Christinabury,220097,2247.64,Sea,"Murphy, Arnold and Kim",April Lynch,13621434,Cash on Delivery
75753ea1-359a-4cf8-9564-aef7fc0eaf15,American Samoa,push,Export,3875,5858.72,19-01-2024,Clothing,North Matthewland,784433,1574.2,Air,"Bradley, Davis and Ellis",Nicholas Sanchez,84925901,Net 60
6dde7a15-948c-4a9d-a848-b0b1084eb935,Afghanistan,drive,Export,1666,8601.65,15-07-2022,Electronics,Matthewport,811826,4481.58,Land,Cooper-Hughes,Edward Fleming,55660582,Net 30
b8f35c26-d13e-439c-9cb6-f1f0e4751694,Portugal,issue,Import,7252,2126.8,27-06-2021,Furniture,New Kristy,888845,268.28,Sea,"Lynch, Figueroa and Thomas",Christina Clay,3868273,Prepaid
d8f7106b-8ec8-4ce6-9730-eef8043e35d5,Solomon Islands,thought,Import,8447,4146.31,13-08-2020,Toys,Debramouth,541439,2332.08,Air,"Horton, Barrett and Day",Aaron Holt,34677813,Net 60
3719509c-5b78-4208-a047-77d10efa49d4,India,space,Export,5896,2095.98,01-04-2022,Electronics,Stoneborough,877781,3835.5,Land,"Hicks, Garza and Williams",Jaime Zimmerman,75158015,Prepaid
99b986a9-39f3-49b8-b2b9-2481707bf484,Kiribati,use,Import,9754,3911.55,27-08-2020,Clothing,Benjaminchester,833855,3946.13,Sea,"Barrett, Davis and Miller",Christopher Romero,9489548,Prepaid
b96dd3f4-3c15-4e0f-a499-8c7ce940a2b7,Belarus,could,Export,8570,4732.41,09-04-2022,Machinery,New Shelbyton,574302,3666.85,Air,Sanchez and Sons,Lisa Smith,81948543,Net 30
d3179fc8-0768-4a39-b460-5d801d944a0f,Kuwait,early,Import,6341,8959.46,28-10-2021,Clothing,Courtneyfurt,206382,357.39,Air,"Bryant, Rogers and Hall",Kenneth Sparks,83622271,Net 30
be5c1933-91a6-4f34-97cb-d7ff9c7d710f,Holy See (Vatican City State),miss,Import,6356,2803.51,22-12-2019,Electronics,South Karenburgh,912694,2144.21,Land,Rubio and Sons,Brenda Johnston,982732,Net 60
c7f7e6f9-690b-4fe7-a3f9-33a5d3e50012,Morocco,item,Export,4422,2119.25,15-05-2020,Toys,Lake William,307575,4783.8,Land,Foley-Jones,Katherine Austin,24914117,Cash on Delivery
